start_time,end_time,duration_min,is_ongoing
2026-06-02T07:10:10.200000Z,2026-06-02T07:14:00.300000Z,3,false
2026-06-04T09:22:10.200000Z,2026-06-04T09:25:40.200000Z,3,false
2026-06-08T04:55:00.200000Z,2026-06-08T05:14:50.200000Z,19,false
2026-06-18T08:59:50.200000Z,2026-06-18T09:10:40.200000Z,10,false
2026-06-18T09:26:00.200000Z,2026-06-18T09:27:10.200000Z,1,false
2026-08-04T11:10:50.300000Z,2026-08-04T11:33:20.300000Z,22,false
2026-08-04T13:05:40.300000Z,2026-08-04T13:16:50.300000Z,11,false
2026-08-19T21:18:40.200000Z,2026-08-19T21:26:00.200000Z,7,false
2026-08-19T23:10:40.200000Z,2026-08-19T23:16:50.200000Z,6,false
2026-08-20T01:43:20.300000Z,2026-08-20T02:04:10.200000Z,20,false
2026-08-20T04:16:10.200000Z,2026-08-20T04:20:00.200000Z,3,false
2026-08-21T07:52:30.200000Z,2026-08-21T08:01:20.200000Z,8,false
2026-08-27T05:47:20.200000Z,2026-08-27T05:50:20.200000Z,3,false
2026-08-29T06:13:10.300000Z,2026-08-29T06:21:30.200000Z,8,false
2026-08-29T09:22:20.200000Z,2026-08-29T09:27:30.200000Z,5,false
2026-08-30T13:42:40.200000Z,2026-08-30T13:55:00.200000Z,12,false
2026-08-30T19:18:00.200000Z,2026-08-30T19:24:00.200000Z,6,false
